real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
16435,2.7285216948653838e-08,0.00010914086779461536,6812.053140180952,8.0108642578125e-12,0.5000000000000001,34,2103-03
16436,2.72852165114975e-08,0.00010914086604599,6812.053031040086,8.0108642578125e-12,0.5000000000000001,34,2103-03
16437,2.728521607434117e-08,0.00010914086429736468,6812.052921899222,8.0108642578125e-12,0.5000000000000001,34,2103-03
16438,2.7285215637184847e-08,0.00010914086254873939,6812.05281275836,8.0108642578125e-12,0.5000000000000001,34,2103-03
16439,2.7285215200028533e-08,0.00010914086080011413,6812.052703617499,8.0108642578125e-12,0.5000000000000001,34,2103-03
16440,2.7285214762872218e-08,0.00010914085905148887,6812.05259447664,8.0108642578125e-12,0.5000000000000001,34,2103-03
16441,2.7285214325715913e-08,0.00010914085730286366,6812.052485335782,8.0108642578125e-12,0.5000000000000001,34,2103-03
16442,2.7285213888559615e-08,0.00010914085555423846,6812.052376194926,8.0108642578125e-12,0.5000000000000001,34,2103-03
16443,2.7285213451403327e-08,0.0001091408538056133,6812.052267054072,8.0108642578125e-12,0.5000000000000001,34,2103-03
16444,2.7285213014247042e-08,0.00010914085205698817,6812.05215791322,8.0108642578125e-12,0.5000000000000001,34,2103-03
16445,3.2742255092508917e-08,0.00013096902037003567,6812.0520269441995,8.0108642578125e-12,0.6000000000000001,33,2103-04
16446,3.274225446300389e-08,0.00013096901785201556,6812.051895975182,8.0108642578125e-12,0.6000000000000001,33,2103-04
16447,3.274225383349888e-08,0.0001309690153339955,6812.0517650061665,8.0108642578125e-12,0.6000000000000001,33,2103-04
16448,3.274225320399388e-08,0.0001309690128159755,6812.051634037154,8.0108642578125e-12,0.6000000000000001,33,2103-04
16449,3.274225257448889e-08,0.00013096901029795556,6812.051503068144,8.0108642578125e-12,0.6000000000000001,33,2103-04
16450,3.274225194498391e-08,0.00013096900777993564,6812.051372099136,8.0108642578125e-12,0.6000000000000001,33,2103-04
16451,3.2742251315478943e-08,0.00013096900526191578,6812.051241130131,8.0108642578125e-12,0.6000000000000001,33,2103-04
16452,3.274225068597399e-08,0.00013096900274389597,6812.051110161128,8.0108642578125e-12,0.6000000000000001,33,2103-04
16453,3.274225005646905e-08,0.0001309690002258762,6812.050979192128,8.0108642578125e-12,0.6000000000000001,33,2103-04
16454,3.2742249426964116e-08,0.00013096899770785646,6812.05084822313,8.0108642578125e-12,0.6000000000000001,33,2103-04
16455,3.2742248797459195e-08,0.00013096899518983679,6812.050717254135,8.0108642578125e-12,0.6000000000000001,33,2103-04
16456,3.2742248167954294e-08,0.00013096899267181717,6812.050586285142,8.0108642578125e-12,0.6000000000000001,33,2103-04
16457,3.27422475384494e-08,0.0001309689901537976,6812.050455316152,8.0108642578125e-12,0.6000000000000001,33,2103-04
16458,3.274224690894452e-08,0.0001309689876357781,6812.050324347164,8.0108642578125e-12,0.6000000000000001,33,2103-04
16459,3.2742246279439645e-08,0.00013096898511775858,6812.050193378179,8.0108642578125e-12,0.6000000000000001,33,2103-04
